"Organization","Status","Next Step",Labels,"Notes","Contacts"
"Ceyoniq Technology GmbH","","",germany:owl:bielefeld,"",""
"Ehlebracht","","",germany:owl,"",""
"Denios AG","","",germany:owl:bielefeld,"",""
"DMG MORI","","",germany:owl:bielefeld,"","Nils Meuss (Assistent Corp. IT):Michael Holuch (Head of Master Data Management)"
"DMG MORI:DMG MORI Software Solutions","","",germany:owl:bielefeld,"","Dr. Tommy Kuhn (GF):Jan Gloeckner (Bereichleiter CELOS):Dr.-Ing. Karl Doreth (Head Pre-Development)"
"DMG MORI:WERKBLiQ","","",germany:owl:bielefeld,"","Tim Busse(GF):Ralf Fleer (Head of Software Development)"
"DMG MORI:DMG MORI Digital","","",germany:owl:bielefeld,"","Dr. Damir Hrnjadovic (GF)"
"Beckhoff Automation GmbH & Co. KG","","",germany:owl:bielefeld,"",""
"Diamant Software","TODO","Contact Sven about workshops",germany:owl:bielefeld,"Smaller Focused Workshops","Peter Semmerling(Owner):Dr. Haiko van Lengen(GF):Roland Hofstetter(GF):Sven Heising(PL):Oliver Beine(SM)"
"SCHUECO:Plan.one","","",germany:owl:bielefeld,"",""
"SCHUECO:Schueco Plan","","",germany:owl:bielefeld,"",""
"SCHUECO:Schueco Digital","","",germany:owl:bielefeld,"",""
"OETKER:Oetker IT","","",germany:owl:bielefeld,"",""
"OETKER:OEDIV","","",germany:owl:bielefeld,"",""
"BENTELER Gruppe","","",germany:owl:bielefeld,"",""
"Böllhoff Gruppe","","",germany:owl:bielefeld,"",""
"Dr. Kurt Wolff GmbH & Co. KG","","",germany:owl:bielefeld,"",""
"GOLDBECK GmbH","","",germany:owl:bielefeld,"",""
"itelligence AG","","",germany:owl:bielefeld,"",""
"Bethel","","",germany:owl:bielefeld,"",""
"Stadtwerke Bielefeld","","",germany:owl:bielefeld,"",""
"T-Systems","","",germany:owl:bielefeld,"",""
"Uni. Bielefeld","","",germany:owl:bielefeld,"",""
"circuly.io","","",germany:owl:bielefeld:startups,"Manage Rental Operations",""
"curawork.online","","",germany:owl:bielefeld:startups,"Pflege / Gesundheitskräfte Jobsuche",""
"lemon.markets","","",germany:owl:bielefeld:startups,"Stock Exchange Automated Strategies",""
"edelsprint.com","","",germany:owl:bielefeld:startups,"Mastering Scrum. All-in-one",""
"devity.eu","","",germany:owl:bielefeld:startups,"Device Security at Scale",""
"semalytix.com","","Contact Andreas Jagel for feedback",germany:owl:bielefeld:startups,"Patient Feedback & Data Analysis","Janik Jaskolski(GF):Andreas Jagel(SE)"
"MIELE: Miele Digital Solutions","","",germany:owl,"",""
"BERTELSMANN:Avarto","","",germany:owl,"",""
"Claas","","",germany:owl,"",""
"Storck","","",germany:owl,"",""
"Gerry Weber","","",germany:owl,"",""
"Phoenix Contact","","",germany:owl,"",""
"REWE:Rewe Systems","","",,"",""
"BOSCH :Bosch Ebike Systems","","",,"",""
"Delivery Hero","","",,"",""
"Aldi Süd","","",,"",""
"Aldi Nord","","",,"",""
"Edeka","","",,"",""
"NTT DATA Deutschland","","",,"",""
"SAP","","",,"",""
"Tesla","","",,"",""
"Google","","",,"",""
"Microsoft","","",,"",""
"Amazon","","",,"",""
"eBay","","",,"",""
"Lufthansa Industries","","",,"",""
"Airbus","","",,"",""
"Mercedes","","",,"",""
"Porsche","","",,"",""
"BMW","","",,"",""
"VW","","",,"",""
"Linde","","",,"",""
"Bulls","","",,"",""
"Canyon","","",,"",""
"HDI","","",,"",""
"VHV","","",,"",""
"Allianz","","",,"",""
"Tchibo","","",,"",""
"Rossmann","","",,"",""
"DM","","",,"",""
"Arculus","","",,"",""
"Volocopter","","",,"",""
"TeamViewer","","",,"",""
"smava.de","","",,"",""
"adference.com","","",,"",""
"msg-life.com","","",,"",""
"clubofcode.io","","",germany:startups,"Zur Festanstellung als Software-Entwickler in wenigen Tagen",""
"craftnote.de","","",germany:startups,"Der Turbo für Deinen Handwerksbetrieb - hebe die Produktivität Deines Teams auf das nächste Level. Einfach, intuitiv & sicher!",""
"SEACOM","","",zar,"","Steve Briggs"
"SIGNAL IDUNA Gruppe","","",germany,"",""
"AerQ","","",germany,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
"","","",,"",""
